GAME_ID,GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE,DIFFERENCE
21000001,2010-10-26,MIA,BOS,88,80,8
21000002,2010-10-26,PHX,POR,106,92,14
21000003,2010-10-26,HOU,LAL,112,110,2
21000004,2010-10-27,BOS,CLE,95,87,8
21000005,2010-10-27,NJN,DET,101,98,3
21000006,2010-10-27,PHI,MIA,97,87,10
21000007,2010-10-27,TOR,NYK,98,93,5
21000008,2010-10-27,MEM,ATL,119,104,15
21000009,2010-10-27,SAC,MIN,117,116,1
21000010,2010-10-27,NOH,MIL,95,91,4
21000011,2010-10-27,CHI,OKC,106,95,11
21000012,2010-10-27,DAL,CHA,101,86,15
21000013,2010-10-27,IND,SAS,122,109,13
21000014,2010-10-27,UTA,DEN,110,88,22
21000015,2010-10-27,HOU,GSW,132,128,4
21000016,2010-10-27,LAC,POR,98,88,10
21000017,2010-10-28,WAS,ORL,112,83,29
21000018,2010-10-28,UTA,PHX,110,94,16
21000019,2010-10-29,CHA,IND,104,101,3
21000020,2010-10-29,SAC,NJN,106,100,6
21000021,2010-10-29,PHI,ATL,104,101,3
21000022,2010-10-29,TOR,CLE,101,81,20
21000023,2010-10-29,BOS,NYK,105,101,4
21000024,2010-10-29,OKC,DET,105,104,1
21000025,2010-10-29,ORL,MIA,96,70,26
21000026,2010-10-29,MIL,MIN,96,85,11
21000027,2010-10-29,DEN,NOH,101,95,6
21000028,2010-10-29,MEM,DAL,91,90,1
21000029,2010-10-29,LAC,GSW,109,91,18
21000030,2010-10-29,PHX,LAL,114,106,8
21000031,2010-10-30,WAS,ATL,99,95,4
21000032,2010-10-30,CLE,SAC,107,104,3
21000033,2010-10-30,POR,NYK,100,95,5
21000034,2010-10-30,PHI,IND,99,86,13
21000035,2010-10-30,DET,CHI,101,91,10
21000036,2010-10-30,MIN,MEM,109,89,20
21000037,2010-10-30,HOU,DEN,107,94,13
21000038,2010-10-30,CHA,MIL,98,88,10
21000039,2010-10-30,SAS,NOH,99,90,9
21000040,2010-10-31,NJN,MIA,101,78,23
21000041,2010-10-31,LAC,DAL,99,83,16
21000042,2010-10-31,OKC,UTA,120,99,21
21000043,2010-10-31,GSW,LAL,107,83,24
21000044,2010-11-01,POR,CHI,110,98,12
21000045,2010-11-01,SAC,TOR,111,108,3
21000046,2010-11-01,LAC,SAS,97,88,9
21000047,2010-11-02,CLE,ATL,100,88,12
21000048,2010-11-02,PHI,WAS,116,115,1
21000049,2010-11-02,DET,BOS,109,86,23
21000050,2010-11-02,MIN,MIA,129,97,32
21000051,2011-03-28,ORL,NYK,113,106,7
21000052,2010-11-02,MIL,POR,90,76,14
21000053,2010-11-02,MEM,LAL,124,105,19
21000054,2010-11-03,DET,ATL,94,85,9
21000055,2010-11-03,NJN,CHA,85,83,2
21000056,2010-11-03,MIN,ORL,128,86,42
21000057,2010-11-03,PHI,IND,101,75,26
21000058,2010-11-03,BOS,MIL,105,102,3
21000059,2010-11-03,NOH,HOU,107,99,8
21000060,2010-11-03,DAL,DEN,102,101,1
21000061,2010-11-03,TOR,UTA,125,108,17
21000062,2010-11-03,SAS,PHX,112,110,2
21000063,2010-11-03,MEM,GSW,115,109,6
21000064,2010-11-03,OKC,LAC,107,92,15
21000065,2010-11-03,SAC,LAL,112,100,12
21000066,2010-11-04,CHI,NYK,120,112,8
21000067,2010-11-04,OKC,POR,107,106,1
21000068,2010-11-05,IND,MIL,94,90,4
21000069,2010-11-05,NJN,ORL,105,90,15
21000070,2010-11-05,CLE,PHI,123,116,7
21000071,2010-11-05,DET,CHA,97,90,7
21000072,2010-11-05,WAS,NYK,112,91,21
21000073,2010-11-05,CHI,BOS,110,105,5
21000074,2010-11-05,ATL,MIN,113,103,10
21000075,2010-11-05,NOH,MIA,96,93,3
21000076,2010-11-05,MEM,PHX,123,118,5
21000077,2010-11-05,LAC,DEN,111,104,7
21000078,2010-11-05,GSW,UTA,85,78,7
21000079,2010-11-05,TOR,LAL,108,103,5
21000080,2010-11-06,CHA,ORL,91,88,3
